Date,Flow,Hour,Line
2020-07-10,37.726467,7,A3
2020-07-10,-271.45891,7,A30
2020-07-10,-51.013452,7,A31-1
2020-07-10,-51.013452,7,A31-2
2020-07-10,111.54488,7,A32-1
2020-07-10,111.54488,7,A32-2
2020-07-10,81.099551,7,A33-1
2020-07-10,81.099551,7,A33-2
2020-07-10,-376.20776,7,A34
2020-07-10,18.423967,7,A4
2020-07-10,28.323153,7,A5
2020-07-10,52.788476,7,A6
2020-07-10,-163.54308,7,A7
2020-07-10,-16.670111,7,A8
2020-07-10,3.95118,7,A9
2020-07-10,78.314571,7,AB1
2020-07-10,55.039863,7,AB2
2020-07-10,148.63684,7,AB3
2020-07-10,16.112001,7,B1
2020-07-10,-41.706125,7,B10
